date,model,image_size,batch_size,channel,roc_auc,pr_auc,f1,precision,recall,test_set
20231127,v1b0,256,128,RGB,0.6932070652921842,0.4865602502252724,0.4150943396226415,0.3275623268698061,0.5664670658682635,test_NoL
20231127,v1b0,256,128,3,0.6934307760747879,0.4833684229115894,0.4089539388721481,0.3192204301075269,0.5688622754491018,test_NoL
20231127,v1b0,256,128,EI,0.6874525134658529,0.4703142682427372,0.4071799716580066,0.3361934477379095,0.5161676646706587,test_NoL
20231127,v1b0,256,128,MI,0.6834838073718944,0.4786747861703112,0.4118451025056947,0.3323529411764706,0.5413173652694611,test_NoL
20231127,v1b0,256,128,5,0.6913847345394726,0.4814609826720655,0.4077922077922077,0.3193220338983051,0.5640718562874252,test_NoL
20231127,v1b0,256,128,RGB,0.8868684044505621,0.4260592437891823,0.37551867219917,0.2882165605095541,0.5386904761904762,test_loc
20231127,v1b0,256,128,3,0.8667821911971946,0.4034429831355661,0.3390151515151515,0.2486111111111111,0.5327380952380952,test_loc
20231127,v1b0,256,128,EI,0.8759591198833283,0.3980795148247978,0.3588039867109635,0.2857142857142857,0.4821428571428571,test_loc
20231127,v1b0,256,128,MI,0.8753745841936224,0.3960285969709071,0.3494736842105263,0.2703583061889251,0.494047619047619,test_loc
20231127,v1b0,256,128,5,0.8716010901091338,0.4188700009690056,0.3474264705882353,0.2513297872340425,0.5625,test_loc
20231127,v2b0,128,128,RGB,0.672045753495681,0.4445301666404434,0.3627093954843409,0.4628252788104089,0.2982035928143712,test_NoL
20231127,v2b0,128,128,3,0.6890759368489103,0.4489404043095621,0.3926315789473684,0.3502347417840376,0.4467065868263473,test_NoL
20231127,v2b0,128,128,EI,0.6870316555558045,0.459504472433548,0.4051585169263836,0.3674463937621832,0.4514970059880239,test_NoL
20231127,v2b0,128,128,MI,0.7098282323647734,0.4590261765448596,0.4055781522370715,0.3939051918735892,0.4179640718562874,test_NoL
20231127,v2b0,128,128,5,0.7177403610736838,0.460333211662757,0.3986885245901639,0.4405797101449275,0.3640718562874251,test_NoL
20231127,v2b0,128,128,RGB,0.8722836885098154,0.3651892214270223,0.3373493975903615,0.4,0.2916666666666667,test_loc
20231127,v2b0,128,128,3,0.8650772314259496,0.3615183947355272,0.3298245614035087,0.2716763005780346,0.4196428571428571,test_loc
20231127,v2b0,128,128,EI,0.8602765112411104,0.389666222044681,0.3511111111111111,0.2801418439716312,0.4702380952380952,test_loc
20231127,v2b0,128,128,MI,0.8484910632353424,0.3517355055229639,0.3232810615199035,0.2718052738336714,0.3988095238095238,test_loc
20231127,v2b0,128,128,5,0.8557151869694883,0.398837832545766,0.3806896551724137,0.3547557840616966,0.4107142857142857,test_loc
20231127,v2b0,256,32,RGB,0.6439084418015919,0.3840193488461909,0.3229166666666667,0.3124300111982083,0.3341317365269461,test_NoL
20231127,v2b0,256,32,3,0.6668091929449492,0.4427897116876223,0.3875968992248062,0.3604531410916581,0.4191616766467065,test_NoL
20231127,v2b0,256,32,EI,0.6922302908880261,0.4657361067881517,0.4080402010050251,0.3515151515151515,0.4862275449101796,test_NoL
20231127,v2b0,256,32,MI,0.6884268875397255,0.4624142276907216,0.4081196581196581,0.3683702989392478,0.4574850299401197,test_NoL
20231127,v2b0,256,32,5,0.6897291467305902,0.4440667483326231,0.3866584311303274,0.399234693877551,0.3748502994011976,test_NoL
20231127,v2b0,256,32,RGB,0.8378252711958838,0.3192083363958661,0.2923832923832923,0.2489539748953975,0.3541666666666667,test_loc
20231127,v2b0,256,32,3,0.8680902914331596,0.3639787670181081,0.3391959798994975,0.2934782608695652,0.4017857142857143,test_loc
20231127,v2b0,256,32,EI,0.8627316635532396,0.3874477595275168,0.3399374348279458,0.261637239165329,0.4851190476190476,test_loc
20231127,v2b0,256,32,MI,0.872981137138269,0.3953531926758992,0.3623693379790941,0.2971428571428571,0.4642857142857143,test_loc
20231127,v2b0,256,32,5,0.8534881648805428,0.3636357435797127,0.3378881987577639,0.2899786780383795,0.4047619047619047,test_loc
20231202,v2b2,512,64,RGB,0.6592559936247226,0.3272953802240877,0.3392529087568892,0.34711779448621555,0.3317365269461078,test_NoL
20231202,v2b2,512,64,3,0.6813598351133114,0.36658910222830254,0.39610389610389607,0.32323996971990915,0.511377245508982,test_NoL
20231202,v2b2,512,64,EI,0.6478840288423687,0.30927788060998385,0.34285714285714286,0.34814814814814815,0.3377245508982036,test_NoL
20231202,v2b2,512,64,MI,0.67294155675821,0.3622264542257646,0.34593837535014005,0.41652613827993257,0.2958083832335329,test_NoL
20231202,v2b2,512,64,5,0.636658484207427,0.32020029623304025,0.28786737000753576,0.3882113821138211,0.22874251497005987,test_NoL
20231202,v2b2,512,64,RGB,0.84874786976043,0.291554836904949,0.31128404669260706,0.27586206896551724,0.35714285714285715,test_loc
20231202,v2b2,512,64,3,0.865792858781503,0.3400634615811522,0.3536842105263158,0.2736156351791531,0.5,test_loc
20231202,v2b2,512,64,EI,0.8434760389014517,0.27792739701369046,0.32352941176470584,0.275,0.39285714285714285,test_loc
20231202,v2b2,512,64,MI,0.8629451995870613,0.3294498782682618,0.33499170812603646,0.3782771535580524,0.3005952380952381,test_loc
20231202,v2b2,512,64,5,0.8509864135778193,0.30226477026252335,0.32225913621262453,0.36466165413533835,0.28869047619047616,test_loc
