Model,Image size,Batch Size,N Channels,CV score,Diff CV,Diff CV %%,PrLB score,Diff Private LB,Diff Private LB %%,PubLB score,Diff Public LB,Diff Public LB %%,CV 5 channels,Private LB 5 ch,Public LB 5 ch,CV 4 channels,Private LB 4 ch,Public LB 4 ch,Remarks
ResNet50 v2,256,32,5,0.8674,-0.0090,-1.04%,0.8602,0.0109,1.27%,0.8380,-0.0022,-0.26%,-0.01038,0.01267,-0.00263,,,,11 epochs HSV - EI - MI
ResNet101 v2 ,512,32,3,0.8590,,,0.8438,,,0.8408,,0.00%,,,,,,,HSV 
ResNet101 v2 ,512,32,EI,0.8537,-0.0053,-0.62%,0.8495,0.0057,0.67%,0.8415,0.0007,0.08%,,,,-0.00621,0.00671,0.00083,HSV - EI
ResNet101 v2 ,512,32,MI,0.8620,0.0030,0.35%,0.8493,0.0055,0.65%,0.8415,0.0007,0.08%,,,,0.00348,0.00648,0.00083,HSV - MI
ResNet101 v2 ,512,32,5,0.8523,-0.0067,-0.79%,0.8474,0.0036,0.42%,0.8485,0.0077,0.91%,-0.00786,0.00425,0.00907,,,,11 epochs HSV - EI - MI
EfficientNet B1 v2,512,64,3,0.8542,,,0.8550,,,0.8612,,0.00%,,,,,,,HSV 
EfficientNet B1 v2,512,64,EI,0.8562,0.0020,0.23%,0.8558,0.0008,0.09%,0.8549,-0.0063,-0.74%,,,,0.00234,0.00093,-0.00737,HSV - EI
EfficientNet B1 v2,512,64,MI,0.8562,0.0020,0.23%,0.8629,0.0079,0.92%,0.8553,-0.0059,-0.69%,,,,0.00234,0.00916,-0.00690,HSV - MI
EfficientNet B1 v2,512,64,5,0.8732,0.0190,2.18%,0.8556,0.0006,0.07%,0.8637,0.0025,0.29%,0.02176,0.00070,0.00289,,,,10 epochs HSV - EI - MI
ResNet101 v2 ,256,128,3,0.8514,,,0.8387,,,0.8335,,0.00%,,,,,,,HSV 
ResNet101 v2 ,256,128,EI,0.8415,-0.0099,-1.18%,0.8305,-0.0082,-0.99%,0.8211,-0.0124,-1.51%,,,,-0.01176,-0.00987,-0.01510,HSV - EI
ResNet101 v2 ,256,128,MI,0.8538,0.0024,0.28%,0.8381,-0.0006,-0.07%,0.8370,0.0035,0.42%,,,,0.00281,-0.00072,0.00418,HSV - MI
ResNet101 v2 ,256,128,5,0.8555,0.0041,0.48%,0.8334,-0.0053,-0.64%,0.8433,0.0098,1.16%,0.00479,-0.00636,0.01162,,,,11 epochs HSV - EI - MI
ResNet50 v2,256,128,3,0.8551,,,0.8361,,,0.8320,,0.00%,,,,,,,HSV 
ResNet50 v2,256,128,EI,0.8596,0.0045,0.52%,0.8392,0.0031,0.37%,0.8177,-0.0143,-1.75%,,,,0.00523,0.00367,-0.01749,HSV - EI
ResNet50 v2,256,128,MI,0.8516,-0.0035,-0.41%,0.8403,0.0042,0.50%,0.8384,0.0064,0.76%,,,,-0.00411,0.00497,0.00763,HSV - MI
ResNet50 v2,256,128,5,0.8538,-0.0013,-0.15%,0.8373,0.0012,0.14%,0.8315,-0.0005,-0.06%,-0.00152,0.00141,-0.00060,,,,11 epochs HSV - EI - MI
ResNet50 v2,256,64,3,0.8613,,,0.8475,,,0.8318,,0.00%,,,,,,,HSV 
ResNet50 v2,256,64,EI,0.8649,0.0036,0.42%,0.8493,0.0018,0.21%,0.8396,0.0078,0.93%,,,,0.00416,0.00212,0.00929,HSV - EI
ResNet50 v2,256,64,MI,0.8613,0.0000,0.00%,0.8547,0.0072,0.84%,0.8443,0.0125,1.48%,,,,0.00000,0.00842,0.01481,HSV - MI
ResNet50 v2,256,64,5,0.8605,-0.0008,-0.09%,0.8467,-0.0008,-0.09%,0.8445,0.0127,1.50%,-0.00093,-0.00094,0.01504,,,,11 epochs HSV - EI - MI shuffled 2019
ResNet50 v2,256,64,3,0.8584,,,0.8497,,,0.8419,,0.00%,,,,,,,HSV 
ResNet50 v2,256,64,EI,0.8594,0.0010,0.12%,0.8476,-0.0021,-0.25%,0.8302,-0.0117,-1.41%,,,,0.00116,-0.00248,-0.01409,HSV - EI
ResNet50 v2,256,64,MI,0.8666,0.0082,0.95%,0.8425,-0.0072,-0.85%,0.8328,-0.0091,-1.09%,,,,0.00946,-0.00855,-0.01093,HSV - MI
ResNet50 v2,256,64,5,0.8602,0.0018,0.21%,0.8431,-0.0066,-0.78%,0.8291,-0.0128,-1.54%,0.00209,-0.00783,-0.01544,,,,11 epochs HSV - EI - MI
ResNet101 v2 ,512,64,3,0.8511,,,0.8466,,,0.8416,,0.00%,,,,,,,HSV 
ResNet101 v2 ,512,64,EI,0.8550,0.0039,0.46%,0.8407,-0.0059,-0.70%,0.8390,-0.0026,-0.31%,,,,0.00456,-0.00702,-0.00310,HSV - EI
ResNet101 v2 ,512,64,MI,0.8490,-0.0021,-0.25%,0.8433,-0.0033,-0.39%,0.8367,-0.0049,-0.59%,,,,-0.00247,-0.00391,-0.00586,HSV - MI
ResNet101 v2 ,512,64,5,0.8550,0.0039,0.46%,0.8491,0.0025,0.29%,0.8531,0.0115,1.35%,0.00456,0.00294,0.01348,,,,11 epochs HSV - EI - MI
Ensemble 19 models,,,3,0.8779,,,0.8695,,,0.8752,,0.00%,,,,,,,HSV 
Ensemble 19 models,,,EI,0.8820,0.0041,0.46%,0.8689,-0.0006,-0.07%,0.8771,0.0019,0.22%,,,,0.00465,-0.00069,0.00217,HSV - EI
Ensemble 19 models,,,5,0.8786,0.0007,0.08%,0.8720,0.0025,0.29%,0.8756,0.0004,0.05%,0.00080,0.00287,0.00046,,,,HSV - EI - MI
Ensemble 9 models,,,3,0.8848,,,0.8665,,,0.8757,,0.00%,,,,,,,HSV 
Ensemble 9 models,,,EI,0.8882,0.0034,0.38%,0.8677,0.0012,0.14%,0.8739,-0.0018,-0.21%,,,,0.00383,0.00138,-0.00206,HSV - EI
Ensemble 9 models,,,5,0.8892,0.0044,0.49%,0.8677,0.0012,0.14%,0.8720,-0.0037,-0.42%,0.00495,0.00138,-0.00424,,,,HSV - EI - MI - 9 best models selected by local CV
